Policy,pvfp_mgr_central,pv_liab_mgr_central,pvfp_mgr_lup,pv_liab_mgr_lup,pvfp_mgr_ldw,pv_liab_mgr_ldw,pvfp_mgr_mort,pv_liab_mgr_mort,pvfp_mgr_long,pv_liab_mgr_long,pvfp_mgr_cat,pv_liab_mgr_cat,pvfp_mgr_lmass,pv_liab_mgr_lmass,pvfp_central,pv_liab_central,pvfp_lup,pv_liab_lup,pvfp_ldw,pv_liab_ldw,pvfp_mort,pv_liab_mort,pvfp_long,pv_liab_long,pvfp_cat,pv_liab_cat,pvfp_lmass,pv_liab_lmass,Fund_Name,choc_mort,choc_long,choc_lup,choc_ldw,choc_lmass,choc_cat,choc_mort_mgr,choc_long_mgr,choc_lup_mgr,choc_ldw_mgr,choc_lmass_mgr,choc_cat_mgr
LCVI0953703,333.6841010648277,-49408.04612815995,365.0545172833408,-49339.2680745428,301.9483430954742,-49477.37117508806,327.2664762747581,-49411.67830411698,342.2449254508929,-49403.20086851679,333.6456470693465,-49408.0674832212,1196.60802900389,-47581.18769922928,333.6841010648277,-49408.04612815995,365.0545172833408,-49339.2680745428,301.9483430954742,-49477.37117508806,327.2664762747581,-49411.67830411698,342.2449254508929,-49403.20086851679,333.6456470693465,-49408.0674832212,1196.60802900389,-47581.18769922928,LXCLA,3.632175957027357,0.0,0.0,69.32504692811199,0.0,0.021355061253416352,3.632175957027357,0.0,0.0,69.32504692811199,0.0,0.021355061253416352
LCVI0953772,102.6161409994398,-41429.69982757667,129.46786700093512,-41369.457967622715,75.4537009528071,-41490.42628118643,98.80405170388651,-41431.22128824907,107.70122886098879,-41427.67022494169,102.59390258164652,-41429.70838606841,890.0009526755684,-39867.76829682375,102.6161409994398,-41429.69982757667,129.46786700093512,-41369.457967622715,75.4537009528071,-41490.42628118643,98.80405170388651,-41431.22128824907,107.70122886098879,-41427.67022494169,102.59390258164652,-41429.70838606841,890.0009526755684,-39867.76829682375,LXCLA,1.5214606724039186,0.0,0.0,60.726453609764576,0.0,0.008558491739677265,1.5214606724039186,0.0,0.0,60.726453609764576,0.0,0.008558491739677265
LCVI0953786,-11.18222800025205,-79010.3844098172,17.43121674500208,-78958.65609886964,-39.89660710829776,-79062.19451088928,-19.6550086533357,-79015.82249351904,0.1145112011677156,-79003.13357080206,-11.25499237785243,-79010.4307190569,1005.150841079833,-76900.1399853165,-11.18222800025205,-79010.3844098172,17.43121674500208,-78958.65609886964,-39.89660710829776,-79062.19451088928,-19.6550086533357,-79015.82249351904,0.1145112011677156,-79003.13357080206,-11.25499237785243,-79010.4307190569,1005.150841079833,-76900.1399853165,LXCLA,5.438083701839787,0.0,0.0,51.81010107208567,0.0,0.0463092396967113,5.438083701839787,0.0,0.0,51.81010107208567,0.0,0.0463092396967113
LCVI0953924,1108.191185178378,-81192.78027150001,1170.009297255546,-81060.58300150745,1045.471166630686,-81326.32046699408,1097.072277518278,-81200.940829708,1123.021336418042,-81181.89583499156,1108.127991179741,-81192.82620251534,2346.354960458439,-78048.90454746208,1108.191185178378,-81192.78027150001,1170.009297255546,-81060.58300150745,1045.471166630686,-81326.32046699408,1097.072277518278,-81200.940829708,1123.021336418042,-81181.89583499156,1108.127991179741,-81192.82620251534,2346.354960458439,-78048.90454746208,LXCLA,8.160558207979193,0.0,0.0,133.54019549406075,0.0,0.04593101532373112,8.160558207979193,0.0,0.0,133.54019549406075,0.0,0.04593101532373112
LCVI0953973,177.4150624999853,-325.7379928412939,177.1644804327477,-325.4538606595913,177.6647221183048,-326.0210263580624,177.3567359418983,-325.6804066218961,177.4927570365282,-325.8147012034676,177.4144794707689,-325.7374172124581,178.4610975354702,-323.8584009736204,177.4150624999853,-325.7379928412939,177.1644804327477,-325.4538606595913,177.6647221183048,-326.0210263580624,177.3567359418983,-325.6804066218961,177.4927570365282,-325.8147012034676,177.4144794707689,-325.7374172124581,178.4610975354702,-323.8584009736204,LXCLAWOPB,0.0,0.07670836217374699,0.0,0.2830335167685121,0.0,0.0,0.0,0.07670836217374699,0.0,0.2830335167685121,0.0,0.0
LCVI0954140,-132.57215190226,-48622.67692110914,-113.144921800224,-48583.93595993901,-152.0977446637062,-48661.53067174695,-135.0328086542349,-48623.60039433184,-129.2908697258795,-48621.44540995722,-132.5911547711903,-48622.68383561452,558.0754800208314,-47241.18947208765,-132.57215190226,-48622.67692110914,-113.144921800224,-48583.93595993901,-152.0977446637062,-48661.53067174695,-135.0328086542349,-48623.60039433184,-129.2908697258795,-48621.44540995722,-132.5911547711903,-48622.68383561452,558.0754800208314,-47241.18947208765,LXCLA,0.9234732227050699,0.0,0.0,38.85375063781248,0.0,0.0069145053857937455,0.9234732227050699,0.0,0.0,38.85375063781248,0.0,0.0069145053857937455
LCVI0954168,394.2733852134259,-27308.21475694397,411.9014229180875,-27259.84042856067,376.3795218045718,-27357.05229257027,391.1148803065089,-27309.15986874477,398.4870768406392,-27306.95385733461,394.2564864170733,-27308.21959214344,917.3131129770792,-26240.9353233509,394.2733852134259,-27308.21475694397,411.9014229180875,-27259.84042856067,376.3795218045718,-27357.05229257027,391.1148803065089,-27309.15986874477,398.4870768406392,-27306.95385733461,394.2564864170733,-27308.21959214344,917.3131129770792,-26240.9353233509,LXCLA,0.9451118008000776,0.0,0.0,48.83753562630227,0.0,0.004835199470107909,0.9451118008000776,0.0,0.0,48.83753562630227,0.0,0.004835199470107909
LCVI0954179,-206.365510560457,-49838.98506438456,-199.4665062676534,-49827.18034648862,-213.2424511213089,-49850.74283150202,-206.722212763584,-49839.12227345983,-205.8900282739583,-49838.80216557637,-206.3690999034897,-49838.98643632692,211.9839233014047,-49020.03872042005,-206.365510560457,-49838.98506438456,-199.4665062676534,-49827.18034648862,-213.2424511213089,-49850.74283150202,-206.722212763584,-49839.12227345983,-205.8900282739583,-49838.80216557637,-206.3690999034897,-49838.98643632692,211.9839233014047,-49020.03872042005,LXCLA,0.13720907527022064,0.0,0.0,11.757767117465846,0.0,0.0013719423659495078,0.13720907527022064,0.0,0.0,11.757767117465846,0.0,0.0013719423659495078
LCVI0954260,822.4206804963271,-19087.62770320872,843.0829462220854,-18994.70248956689,800.9146805061935,-19182.64102808269,817.460299856828,-19087.11134198536,829.0442491996723,-19088.31729887211,822.4057037813839,-19087.62620271687,1405.238793084995,-17974.80052008849,822.4206804963271,-19087.62770320872,843.0829462220854,-18994.70248956689,800.9146805061935,-19182.64102808269,817.460299856828,-19087.11134198536,829.0442491996723,-19088.31729887211,822.4057037813839,-19087.62620271687,1405.238793084995,-17974.80052008849,LXCLA,0.0,0.6895956633889,0.0,95.0133248739694,0.0,0.0,0.0,0.6895956633889,0.0,95.0133248739694,0.0,0.0
LCVI0954281,-307.4369961507714,-80696.00273609797,-269.1724840985598,-80624.56619497135,-345.9418883972539,-80767.72307792545,-310.9460621609792,-80698.14902524897,-302.7578063074106,-80693.14071508487,-307.4631731130708,-80696.01848541523,823.8408626622222,-78289.97172486386,-307.4369961507714,-80696.00273609797,-269.1724840985598,-80624.56619497135,-345.9418883972539,-80767.72307792545,-310.9460621609792,-80698.14902524897,-302.7578063074106,-80693.14071508487,-307.4631731130708,-80696.01848541523,823.8408626622222,-78289.97172486386,LXCLA,2.146289151001838,0.0,0.0,71.72034182747302,0.0,0.015749317259178497,2.146289151001838,0.0,0.0,71.72034182747302,0.0,0.015749317259178497
LCVI0954406,-47.80828286467306,-35674.25332028195,-42.08845807066643,-35663.44834444559,-53.51963353324379,-35685.02899514821,-48.06946627910781,-35674.34244998071,-47.46008806129862,-35674.13449619953,-47.81092545330773,-35674.25421152954,256.8970239724093,-35045.73102695718,-47.80828286467306,-35674.25332028195,-42.08845807066643,-35663.44834444559,-53.51963353324379,-35685.02899514821,-48.06946627910781,-35674.34244998071,-47.46008806129862,-35674.13449619953,-47.81092545330773,-35674.25421152954,256.8970239724093,-35045.73102695718,LXCLA,0.08912969876109855,0.0,0.0,10.775674866265035,0.0,0.0008912475896067917,0.08912969876109855,0.0,0.0,10.775674866265035,0.0,0.0008912475896067917
LCVI0954473,-14.29616329913415,-63005.76259823849,16.50723542706737,-62945.28838916773,-45.32614498036264,-63066.51755459168,-19.34112644717925,-63008.81970962698,-7.568293649508178,-63001.68561321784,-14.33259474075021,-63005.78431739374,859.6146728545234,-61094.23183801071,-14.29616329913415,-63005.76259823849,16.50723542706737,-62945.28838916773,-45.32614498036264,-63066.51755459168,-19.34112644717925,-63008.81970962698,-7.568293649508178,-63001.68561321784,-14.33259474075021,-63005.78431739374,859.6146728545234,-61094.23183801071,LXCLA,3.057111388487101,0.0,0.0,60.75495635318657,0.0,0.021719155251048505,3.057111388487101,0.0,0.0,60.75495635318657,0.0,0.021719155251048505
LCVI0954617,-1530.46579611223,-208305.7306563059,-1482.141816476539,-208229.0110870816,-1578.765756707507,-208382.3101193114,-1535.869242036712,-208309.4780553095,-1523.262988076223,-208300.7353113498,-1530.519861006705,-208305.7681265172,452.9318485039394,-204145.7914477352,-1530.46579611223,-208305.7306563059,-1482.141816476539,-208229.0110870816,-1578.765756707507,-208382.3101193114,-1535.869242036712,-208309.4780553095,-1523.262988076223,-208300.7353113498,-1530.519861006705,-208305.7681265172,452.9318485039394,-204145.7914477352,LXCLA,3.7473990035941824,0.0,0.0,76.57946300550248,0.0,0.037470211304025725,3.7473990035941824,0.0,0.0,76.57946300550248,0.0,0.037470211304025725
LCVI0954645,-374.13435377231,-30837.76214885971,-373.8464263033297,-30837.47385171691,-374.4195154978428,-30838.04767670808,-374.1343542900344,-30837.76214885971,-374.134353082029,-30837.76214885971,-374.1343542900344,-30837.76214885971,-243.851978333349,-30707.31250218604,-374.13435377231,-30837.76214885971,-373.8464263033297,-30837.47385171691,-374.4195154978428,-30838.04767670808,-374.1343542900344,-30837.76214885971,-374.134353082029,-30837.76214885971,-374.1343542900344,-30837.76214885971,-243.851978333349,-30707.31250218604,LXCLA,0.0,0.0,0.0,0.2855278483693837,0.0,0.0,0.0,0.0,0.0,0.2855278483693837,0.0,0.0
