Policy,pvfp_central,pv_liab_central,pvfp_mgr_central,pv_liab_mgr_central,pvfp_mort,pv_liab_mort,pvfp_mgr_mort,pv_liab_mgr_mort,pvfp_long,pv_liab_long,pvfp_mgr_long,pv_liab_mgr_long,pvfp_lup,pv_liab_lup,pvfp_mgr_lup,pv_liab_mgr_lup,pvfp_ldw,pv_liab_ldw,pvfp_mgr_ldw,pv_liab_mgr_ldw,pvfp_lmass,pv_liab_lmass,pvfp_mgr_lmass,pv_liab_mgr_lmass,pvfp_cat,pv_liab_cat,pvfp_mgr_cat,pv_liab_mgr_cat
1200803,14597.113169113,-444564.7970377,12075.162867435,-382947.84056087,14095.626801319,-443914.60221727,11736.018735141,-384778.9640374,15385.001114341,-445564.37938762,12593.863859632,-380021.27204147,11492.449449996,-437579.21103426,9873.4153695191,-393262.45869082,17860.856288588,-456254.00304301,13844.236855887,-367922.3486189,9298.8962612054,-434532.71423245,7668.9102187801,-394708.46433858,14575.805753874,-444524.49488285,12057.639617071,-382999.99412263
1200804,116098.60762194,-3058341.7842209,107651.77721537,-2781760.0315842,115637.93666989,-3057907.8055938,107239.71555685,-2782438.823866,116718.19731594,-3058925.6412135,108205.92617254,-2780848.3930169,94527.98699635,-3036699.9032105,88358.021914352,-2817479.3568604,143621.25914689,-3088589.1103052,131986.7279936,-2735891.5252782,74732.278820297,-3017148.4975626,69272.926327792,-2838388.2753301,115932.02448678,-3058182.3597428,107497.86607469,-2782015.5369997
1200821,-12359.05269661,-22117.918334844,-12383.202193657,-21268.300252834,-12320.391334595,-22076.448047682,-12344.400158778,-21230.336151299,-12410.999831931,-22173.644750352,-12435.338747216,-21319.313608848,-8974.4435088131,-18600.412262804,-8992.0587057097,-17927.71352858,-18205.675829771,-28142.444212536,-18238.988293932,-27057.719128522,-8226.7357315223,-17732.382714827,-8242.3426252707,-17183.307133386,-12341.568304682,-22099.434394591,-12365.681572356,-21251.090920071
1200823,1456.9649756861,-104482.19045062,1209.3233091001,-97020.421291153,1373.9406968794,-104305.17240277,1143.4289151709,-97182.986513575,1583.6101623319,-104745.53923196,1309.6755428793,-96777.584641889,1368.4826178898,-103498.76882765,1184.8206712403,-97475.685482953,1374.4998317404,-105971.38329851,1037.8925093383,-96623.562873239,890.35032794671,-102744.20249029,730.30901650449,-97921.947259889,1454.8492554019,-104475.33187503,1207.5797232942,-97024.775616901
1200824,1673.1221812888,-109937.96296344,1412.2219029781,-102076.69439247,1581.2229604654,-109755.89732071,1338.3696925532,-102252.39313949,1813.0499817312,-110208.90921416,1524.4490389277,-101814.35429626,1547.0167505882,-108934.77520709,1353.5216346147,-102589.21897424,1640.1026471167,-111453.02570353,1285.4735360029,-101604.72761956,1029.8977665825,-108153.19749208,861.28792288328,-103072.76111382,1670.7000015224,-109930.93036799,1410.1917815849,-102081.47503153
1200845,-5347.1592119238,-18138.602907403,-5383.9869729398,-17151.832770933,-5216.7978438814,-17981.313278211,-5250.4421827346,-17049.772284715,-5539.2484091664,-18373.262713847,-5581.5722344136,-17294.066088668,-3871.276546099,-16529.7478317,-3896.9101799078,-15771.463501328,-8109.0062221729,-21083.204397334,-8162.6818079904,-19773.415090633,-3563.1220399709,-16097.487346293,-3586.9266820532,-15459.66117201,-5339.6313269925,-18130.081315984,-5376.4037896688,-17144.792853899
1200901,1493.1808792145,-181345.31195899,949.66582230147,-164700.13397676,1481.4030638255,-181298.08263201,941.28239156396,-164724.85145297,1509.0633830747,-181408.85763792,960.97500173138,-164666.92104771,1687.0568084054,-178463.14120754,1291.6182006765,-165304.07468804,567.28892154992,-185880.22240807,-184.50329839739,-164589.47618736,838.53492287068,-176956.00628021,487.31351045142,-166199.83154957,1490.9224320205,-181327.57312618,948.22276709698,-164707.36656768
1200909,10935.783523203,-288849.09847857,7608.5773866657,-226051.66013249,10935.783523203,-288849.09847857,7608.5773866657,-226051.66013249,10935.783523203,-288849.09847857,7608.5773866657,-226051.66013249,8355.8941768139,-278732.30922167,6320.2947419724,-235738.45189802,12799.02250353,-307013.32265087,7241.6434030382,-211956.49976235,6914.7041070073,-276647.2263504,4764.6513645467,-236067.29261776,10935.783523203,-288849.09847857,7608.5773866657,-226051.66013249
1200913,15312.340701789,-617304.16459188,12433.013096218,-545696.95854873,14531.61549184,-616176.64673557,11888.662294811,-548300.68247462,16565.587630517,-619042.18759625,13284.812805843,-541398.10897098,12616.085339827,-608428.53899647,10722.005260907,-555658.81534774,17163.934155134,-632225.43389726,12694.161900188,-532296.37774462,9632.7698319603,-604186.21657088,7772.3048151507,-557917.53164007,15289.961859384,-617251.56827147,12414.956605962,-545751.85661704
1200924,139842.90746791,-2655674.3783997,121687.16724521,-2260297.898135,136672.06913453,-2653892.0803504,119542.66762999,-2271931.5982183,144731.37638361,-2658417.513964,124896.79609436,-2242261.6980819,103163.49336871,-2633167.5714462,92145.400020731,-2362054.4506589,195333.78571816,-2691848.5010732,164572.55999344,-2093192.5363622,90163.140885023,-2621166.9763862,78431.888257415,-2365696.1822402,139639.80052218,-2655541.4245743,121511.29868686,-2260758.1130594
1200929,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,30223.473037393,-761801.19993715,22110.341477192,-629754.97444298,64892.920342902,-862329.97752135,34739.697092354,-516396.14340374,28408.065890954,-759448.89239501,18542.032317003,-625527.15584198,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699
1200930,22503.093656326,-509573.50538782,12831.823992608,-378295.4980377,22503.093656326,-509573.50538782,12831.823992608,-378295.4980377,22503.093656326,-509573.50538782,12831.823992608,-378295.4980377,15464.740238024,-486150.89360345,10326.42350513,-402521.61618603,29855.325787806,-557385.85178528,10758.284105529,-338294.42018073,14220.832970313,-484755.24819495,7972.3449451703,-399938.14708886,22503.093656326,-509573.50538782,12831.823992608,-378295.4980377
1200931,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,30223.473037393,-761801.19993715,22110.341477192,-629754.97444298,64892.920342902,-862329.97752135,34739.697092354,-516396.14340374,28408.065890954,-759448.89239501,18542.032317003,-625527.15584198,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699
1200932,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699,30223.473037393,-761801.19993715,22110.341477192,-629754.97444298,64892.920342902,-862329.97752135,34739.697092354,-516396.14340374,28408.065890954,-759448.89239501,18542.032317003,-625527.15584198,44471.46473635,-795649.46835348,29201.039183634,-588368.40726699
1200960,21194.463032834,-920416.600516,18926.948070892,-840502.5658418,20599.211212938,-919216.24964562,18419.203091469,-841509.57383673,22038.898354486,-922114.97794936,19646.41989025,-839089.82794031,18077.025625349,-911028.65331304,16406.553223769,-847074.66321384,24368.141871442,-933820.65483407,21267.990122738,-832845.21778542,13456.046709053,-903219.1248748,11990.901772568,-851583.01873121,21164.033246223,-920348.41168231,18899.923617279,-840554.39116623
1200961,-7345.815879762,-117210.58473227,-7601.1854716354,-108066.19543785,-7204.7953468693,-116847.75934493,-7449.2750101334,-107976.03914573,-7544.0071689868,-117726.12189121,-7815.1102213264,-108193.98279427,-5272.8558892364,-113728.65101656,-5461.5553150193,-106390.97555163,-10990.057201256,-122715.911737,-11338.151664793,-111194.37456997,-4964.3556387112,-111975.3503171,-5129.361590489,-106066.74292229,-7335.573469222,-117189.07382618,-7590.5595595639,-108058.41712722
